1:	train_loss: 2407.6891	val_loss: 2302.4206
2:	train_loss: 2010.1888	val_loss: 2098.7032
3:	train_loss: 1857.5472	val_loss: 1941.0556
4:	train_loss: 1762.6752	val_loss: 1870.6908
5:	train_loss: 1684.6004	val_loss: 1821.7221
6:	train_loss: 1629.4429	val_loss: 1786.4221
7:	train_loss: 1584.8032	val_loss: 1756.7019
8:	train_loss: 1545.8979	val_loss: 1672.8399
9:	train_loss: 1512.0262	val_loss: 1678.2789
10:	train_loss: 1479.7136	val_loss: 1621.6357
11:	train_loss: 1450.6909	val_loss: 1598.8599
12:	train_loss: 1427.8084	val_loss: 1562.1592
13:	train_loss: 1407.7354	val_loss: 1608.3526
14:	train_loss: 1388.7147	val_loss: 1505.2501
15:	train_loss: 1373.5664	val_loss: 1489.5927
16:	train_loss: 1357.0992	val_loss: 1517.8898
17:	train_loss: 1342.7229	val_loss: 1481.6003
18:	train_loss: 1329.4760	val_loss: 1470.1554
19:	train_loss: 1317.7868	val_loss: 1461.1106
20:	train_loss: 1305.2270	val_loss: 1553.4059
21:	train_loss: 1292.8639	val_loss: 1447.8592
22:	train_loss: 1284.5292	val_loss: 1415.6530
23:	train_loss: 1273.3775	val_loss: 1437.4827
24:	train_loss: 1267.3206	val_loss: 1438.6944
25:	train_loss: 1257.0761	val_loss: 1386.4093
26:	train_loss: 1250.3669	val_loss: 1407.6374
27:	train_loss: 1241.3896	val_loss: 1373.8819
28:	train_loss: 1234.9269	val_loss: 1419.5050
29:	train_loss: 1226.3349	val_loss: 1398.2939
30:	train_loss: 1222.0835	val_loss: 1368.6618
31:	train_loss: 1214.8164	val_loss: 1342.5761
32:	train_loss: 1208.2005	val_loss: 1390.9970
33:	train_loss: 1204.3513	val_loss: 1358.8256
34:	train_loss: 1197.5493	val_loss: 1355.7042
35:	train_loss: 1153.6358	val_loss: 1312.9094
36:	train_loss: 1146.7766	val_loss: 1309.9049
37:	train_loss: 1144.0527	val_loss: 1297.5443
38:	train_loss: 1141.9326	val_loss: 1299.4302
39:	train_loss: 1141.1467	val_loss: 1291.8878
40:	train_loss: 1138.0924	val_loss: 1293.4611
41:	train_loss: 1137.3507	val_loss: 1297.3349
42:	train_loss: 1134.5320	val_loss: 1289.8694
43:	train_loss: 1133.4981	val_loss: 1305.0865
44:	train_loss: 1130.6952	val_loss: 1299.5682
45:	train_loss: 1128.6388	val_loss: 1305.0824
46:	train_loss: 1114.0676	val_loss: 1283.4506
47:	train_loss: 1112.3478	val_loss: 1282.2743
48:	train_loss: 1110.4370	val_loss: 1282.9228
49:	train_loss: 1110.6047	val_loss: 1283.5220
50:	train_loss: 1109.5763	val_loss: 1283.4948
51:	train_loss: 1104.4835	val_loss: 1279.1579
52:	train_loss: 1103.5265	val_loss: 1278.8340
53:	train_loss: 1103.0785	val_loss: 1279.1217
54:	train_loss: 1103.7563	val_loss: 1279.3163
55:	train_loss: 1101.3283	val_loss: 1279.0576
56:	train_loss: 1101.5805	val_loss: 1278.4406
57:	train_loss: 1101.7742	val_loss: 1275.7514
58:	train_loss: 1101.4244	val_loss: 1278.4185
59:	train_loss: 1100.3061	val_loss: 1276.1104
60:	train_loss: 1101.0610	val_loss: 1276.5916
61:	train_loss: 1100.9308	val_loss: 1276.3976
62:	train_loss: 1100.1777	val_loss: 1279.9353
63:	train_loss: 1100.7777	val_loss: 1276.1293
64:	train_loss: 1100.6209	val_loss: 1276.1926
65:	train_loss: 1099.6046	val_loss: 1279.6450
66:	train_loss: 1100.0140	val_loss: 1278.1680
